0.886309976	0.975959674	0.591133696	0.846470388	0.673919645	0.870052352	0.000000000	0.000000000	0.810000000
0.901765254	0.978847994	0.599197817	0.849021979	0.689549009	0.874032056	-0.116429939	-0.060787476	0.800000000
0.918575684	0.983256582	0.606587229	0.853483463	0.699930062	0.878470124	-1.051912640	-0.079263407	0.760000000
0.892320478	0.978105528	0.615932030	0.858144267	0.718814960	0.884990410	-0.117378065	-0.155021623	0.810000000
0.883544147	0.976587459	0.642750522	0.864778821	0.762382918	0.892430680	-1.421951489	-0.336706884	0.770000000
0.878394842	0.974835885	0.658750338	0.872579159	0.782181951	0.897749246	-1.927945077	-0.404806227	0.750000000
0.886426034	0.975638666	0.648845452	0.876788157	0.756763075	0.895033934	0.121809053	-0.113565503	0.780000000
0.868548834	0.970616397	0.643036087	0.879558350	0.742130148	0.891225053	-0.121809053	-0.236854240	0.800000000
0.849821186	0.965809606	0.643809633	0.878032012	0.754543762	0.893407000	0.606701597	0.197728058	0.800000000
0.833685263	0.961764336	0.648718382	0.874070308	0.768504767	0.892702416	2.034746636	-0.067109092	0.760000000
0.828573368	0.960387695	0.633788631	0.870336364	0.744847633	0.889744558	1.528468691	0.296059279	0.740000000
0.830192609	0.960771038	0.624492515	0.867607570	0.728819913	0.886780194	1.390644625	0.356341202	0.700000000
0.813597918	0.957319234	0.610325745	0.864795992	0.711185400	0.885920817	1.143870886	0.270120423	0.680000000
0.813670337	0.957138255	0.605481253	0.863041799	0.707212572	0.888003144	0.906091070	0.322815971	0.660000000
0.824087984	0.959444847	0.608901163	0.858754017	0.723558011	0.891024233	-0.112611488	0.165614744	0.670000000
0.825696859	0.960949910	0.609184624	0.853843395	0.728072701	0.890880449	1.900529422	0.246074865	0.710000000
0.837123701	0.963900990	0.605211840	0.848911582	0.718612481	0.887525766	1.538237800	0.404521670	0.720000000
0.846635061	0.967259148	0.593730890	0.845664539	0.699072464	0.884732860	0.868705831	0.233546916	0.680000000
0.864420222	0.973206022	0.598962671	0.845290655	0.709102816	0.886639875	-0.868705831	0.036442485	0.660000000
0.888468606	0.979934601	0.595254178	0.844208880	0.699867454	0.885121387	1.622489864	0.537801765	0.650000000
0.938016504	0.992190583	0.582788303	0.840360895	0.678887456	0.878147020	0.535286860	0.161139964	0.650000000
1.010129267	1.009313410	0.582532923	0.837508153	0.675207217	0.875543108	0.213238811	0.588035389	0.690000000
1.063222358	1.021702925	0.579680314	0.836047270	0.666716169	0.871817016	-0.106753299	0.044952306	0.720000000
1.064313590	1.023117096	0.572991576	0.832855225	0.652048254	0.866699077	-0.213466815	0.030556030	0.740000000
1.037949518	1.017174526	0.563987189	0.827812935	0.644938450	0.861508850	0.956843160	0.183140369	0.710000000
1.014197332	1.010275403	0.554000557	0.821566433	0.634346686	0.855604846	0.105963082	0.164898231	0.710000000
1.018457255	1.009484811	0.550379875	0.816454596	0.626771339	0.851280533	0.632303787	0.248625089	0.710000000
1.005750613	1.005714889	0.548187314	0.812278928	0.623488095	0.848631055	0.104808621	0.114267362	0.710000000
1.020382909	1.006767020	0.547139783	0.806646796	0.631652142	0.847252692	0.418887228	0.026762536	0.710000000
0.956602595	0.990333843	0.544048892	0.800779361	0.638440444	0.846385788	0.000000000	-0.049962529	0.680000000
0.914277851	0.978002520	0.542256118	0.796095793	0.646136783	0.846349923	0.728671244	0.156941108	0.700000000
0.851084208	0.962121970	0.536142655	0.791878561	0.641080072	0.845552737	1.134905824	0.202944545	0.700000000
0.801522632	0.948314905	0.526022454	0.789424297	0.631227003	0.845858497	0.613553849	0.163480028	0.690000000
0.768777021	0.937905661	0.530462277	0.790323351	0.642336507	0.848904889	0.913148881	0.457034329	0.660000000
0.742227937	0.928653827	0.529276231	0.790286166	0.641680974	0.848130357	1.204942064	0.063606490	0.630000000
0.722219889	0.921761351	0.525401237	0.790824934	0.631209596	0.847863229	0.298802517	0.074156474	0.610000000
0.704275862	0.915862493	0.524098234	0.792071035	0.627180631	0.848994341	-0.398840397	0.239749084	0.580000000
0.698683998	0.912838129	0.525537531	0.794501236	0.626116293	0.850159463	0.199619040	0.204038627	0.540000000
0.682917495	0.907005106	0.526853600	0.794452613	0.628243755	0.853379640	0.992161431	0.293016080	0.530000000
0.664601808	0.900221397	0.523508070	0.793812137	0.628738325	0.857558678	0.688526618	0.362011920	0.510000000
0.650368887	0.894455890	0.527480076	0.795040946	0.638430253	0.863444395	0.488868477	-0.050637775	0.510000000
0.631771908	0.888092877	0.535276037	0.794943730	0.655187642	0.866611099	-0.195330648	0.183222143	0.500000000
0.621876404	0.883718169	0.542066937	0.794173858	0.670834628	0.870968514	0.876172202	0.221163899	0.440000000
0.613992846	0.880361530	0.537100237	0.792475605	0.669106913	0.872960981	0.675893048	0.458182998	0.470000000
0.610588428	0.878548074	0.530530049	0.790627940	0.666207315	0.874239604	0.000000000	0.254217640	0.450000000
0.605360038	0.876787578	0.538829600	0.791323194	0.686467079	0.877351011	1.622924814	0.041443620	0.450000000
0.597934104	0.874781729	0.524897582	0.790669050	0.663014700	0.877123194	0.566625441	0.287903932	0.440000000
0.596198787	0.874490977	0.521995401	0.793359745	0.657762680	0.880240181	0.282281247	0.226979721	0.440000000
